video_code,author,source_URL,license,length_s,language_free,anxiety,compassion,contempt,despair,disgust,fascination,fear,guilt,indifference,irritation,joy,no_emotion,pride,rage,sadness,satisfaction,shame,surprise,entropy,modal_emotion,valence,arousal,valence_wsd,arousal_wsd
VID_822,Justin Payne,https://www.youtube.com/watch?v=v5xHs-nGomc,CC-BY 3.0,65,FALSE,38,0,113,0,528,38,0,0,19,57,0,0,0,113,0,0,19,75,544,disgust,-1338,1054,309,517
VID_823,Richard Lee Chilton,https://www.youtube.com/watch?v=enypXVgtXrU,CC-BY 3.0,69,FALSE,103,52,155,0,172,17,34,0,52,121,0,17,0,138,52,0,52,34,277,disgust,-1065,1045,327,472
VID_901,Soare Adrian,https://www.youtube.com/watch?v=dHG_eKFJHtM,CC-BY 3.0,20,TRUE,0,0,0,0,0,61,0,0,364,0,61,152,15,0,0,333,15,0,631,indifference,656,-1008,457,344
VID_902,Research Indicates,https://www.youtube.com/watch?v=4pqH65gOL3M,CC-BY 3.0,23,TRUE,0,14,0,0,0,271,0,0,157,0,71,114,0,0,0,371,0,0,649,satisfaction,949,-791,544,264
VID_903,Loren Cahlander,https://www.youtube.com/watch?v=fVG6GdiXjAk,CC-BY 3.0,20,TRUE,0,0,15,0,0,149,0,0,134,0,75,75,0,15,0,537,0,0,641,satisfaction,1082,-911,0.44,317
VID_904,epSos.de,https://www.youtube.com/watch?v=urhIKStIcSo,CC-BY 3.0,21,TRUE,31,0,0,0,0,277,0,0,154,15,46,108,15,0,0,354,0,0,575,satisfaction,886,-699,481,348
VID_905,floydstinkyboy,https://www.youtube.com/watch?v=CQC9W2XljeU,CC-BY 3.0,46,TRUE,0,14,0,0,0,246,0,0,217,0,43,87,0,0,0,391,0,0,662,satisfaction,1078,-861,391,226
VID_906,Grafolio,https://www.youtube.com/watch?v=DWK-FucR7gc,CC-BY 3.0,58,FALSE,0,111,14,0,0,56,0,0,69,14,375,42,0,0,42,278,0,0,531,joy,1.18,-541,0.42,365
VID_907,Alek Big K,https://www.youtube.com/watch?v=9TvIyIchWjg,CC-BY 3.0,68,TRUE,0,43,14,0,0,58,0,0,203,0,174,29,0,0,116,333,0,29,505,satisfaction,834,-655,573,0.3
VID_908,Meditation.Kanal,https://www.youtube.com/watch?v=voOL9q_h7hk,CC-BY 3.0,45,TRUE,43,14,14,0,0,101,0,0,391,0,0,87,0,0,0,348,0,0,641,indifference,638,-908,499,312
VID_909,icanhc,https://www.youtube.com/watch?v=F0wIhtnP6MM,CC-BY 3.0,42,TRUE,0,0,0,0,0,103,0,0,309,0,59,103,0,0,44,382,0,0,644,satisfaction,673,-0.92,524,0.31
VID_1001,CINESIM Creative Commons,https://www.youtube.com/watch?v=3FXUw98rrUY,CC-BY 3.0,21,TRUE,29,0,0,0,0,87,0,0,623,0,14,174,0,0,0,72,0,0,712,indifference,248,-582,304,351
VID_1002,Elisha Z,https://www.youtube.com/watch?v=DJ2IhGCexgI,CC-BY 3.0,20,TRUE,72,0,0,0,0,174,14,0,0.42,0,0,217,0,0,0,101,0,0,653,indifference,308,-711,337,361
VID_1003,BoringVideosDaily2,https://www.youtube.com/watch?v=TA4lupq7mAM,CC-BY 3.0,20,TRUE,43,14,0,0,14,129,0,0,457,0,0,214,14,0,29,86,0,0,0.56,indifference,352,-772,357,326
VID_1004,SomFunk,https://www.youtube.com/watch?v=V2yUPXTEcjs,CC-BY 3.0,35,TRUE,29,0,0,0,0,86,0,0,614,14,0,0.2,0,0,0,57,0,0,715,indifference,104,-469,137,426
VID_1005,MyAbridged,https://www.youtube.com/watch?v=KgbSjRMqyjc,CC-BY 3.0,30,TRUE,0,0,0,0,0,0,0,0,671,0,0,247,0,0,0,82,0,0,861,indifference,145,-866,204,277
VID_1006,Kizzume Fowler,https://www.youtube.com/watch?v=UnUrLa6KK_w,CC-BY 3.0,40,FALSE,0.03,15,15,0,0,149,0,0,627,15,0,119,0,0,0,15,0,15,631,indifference,107,-636,191,0.32
VID_1007,BikingInLA,https://www.youtube.com/watch?v=weE-aRrEIsw,CC-BY 3.0,31,TRUE,0.3,0,0,0,0,29,14,0,414,14,29,171,0,0,0,29,0,0,617,indifference,-1,-141,165,716
VID_1008,Worldwide Center of Mathematics,https://www.youtube.com/watch?v=eze6aOHC2fk,CC-BY 3.0,55,FALSE,13,0,0,0,0,105,0,0,737,0,13,105,0,0,0,26,0,0,764,indifference,152,-698,356,261
VID_1009,Donnie Clapp,https://www.youtube.com/watch?v=MSwaJXYS-XY,CC-BY 3.0,22,TRUE,14,0,0,14,0,29,14,0,449,0,217,159,0,0,0,101,0,0,606,indifference,497,-798,0.45,278
VID_1010,the Terriblelands,https://www.youtube.com/watch?v=VafWrBxazXI,CC-BY 3.0,30,TRUE,103,15,0,0,0,176,15,0,324,0,88,88,0,0,0,191,0,0,541,indifference,675,-739,567,383
VID_1011,Whiletheyplay,https://www.youtube.com/watch?v=SSkYjkRRfGM,CC-BY 3.0,67,FALSE,0,0,0,0,0,118,0,0,735,0,29,44,15,0,0,59,0,0,749,indifference,271,-925,275,311
VID_1012,Allversity,https://www.youtube.com/watch?v=EGMGTfq57u4,CC-BY 3.0,44,FALSE,0,0,14,0,0,194,0,0,625,0,0,97,14,0,0,56,0,0,727,indifference,231,-809,244,289
