Video_ID,Action_description,POV,Gender,V_M_Tot,V_SD_Tot,A_M_Tot,A_SD_Tot,V_M_Fem,V_SD_Fem,V_M_Mal,V_SD_Mal,A_M_Fem,A_SD_Fem,A_M_Mal,A_SD_Mal
1_M_044,Drawing a triangle,1,M,5,1.8364501135636229,2.1147540983606556,1.5716059796244277,4.961538461538462,1.9489642219552257,5.038461538461538,1.7545545128212854,2.5483870967741935,1.8945308949256956,1.6666666666666667,0.9942362632324557
3_F_044,Drawing a triangle,3,F,5.689655172413793,1.0955555596458921,3.0714285714285716,2.3576347381309,5.75,1.0472698761772856,5.615384615384615,1.1688258408136978,2.9642857142857144,2.1340648547391443,3.1785714285714284,2.5970577572917
3_M_044,Drawing a triangle,3,M,5.225,1.5605308104156124,2.1587301587301586,1.6085091194337655,4.666666666666667,1.5916448515084431,5.842105263157895,1.302269723501447,1.96875,1.2044105772989864,2.3548387096774195,1.9416210941165322
1_F_045,Signing on a paper,1,F,5.258620689655173,1.250408281779745,3.4642857142857144,2.295959183310664,5.15625,1.1390254748064526,5.384615384615385,1.3878594475500203,3.5714285714285716,2.2182504188289744,3.357142857142857,2.4070003725904976
1_M_045,Signing on a paper,1,M,5.15,1.459715462262844,2.4761904761904763,2.0387942582933105,5.0476190476190474,1.321975433818287,5.2631578947368425,1.6276126096272252,2.59375,2.153157845973541,2.3548387096774195,1.9416210941165322
3_F_045,Signing on a paper,3,F,5.163934426229508,1.157300420070382,2.358490566037736,1.962086209415509,5.096774193548387,0.9075549096217241,5.233333333333333,1.3817363722139078,2.3461538461538463,2.096517258546806,2.3703703703703702,1.863581088371116
3_M_045,Signing on a paper,3,M,4.615384615384615,1.4163450082885074,1.9508196721311475,1.5750791462462739,4.461538461538462,1.5028178660308567,4.769230769230769,1.3358949751441487,2.032258064516129,1.779210891898277,1.8666666666666667,1.3578211078487255
1_F_046,Scratching one's hand,1,F,4.6,2.1578716960028594,2.8095238095238093,1.847903283123552,4.238095238095238,1.9976176286957896,5,2.309401076758503,3.0625,1.9166082272530798,2.5483870967741935,1.7670825235854977
1_M_046,Scratching one's hand,1,M,4.377049180327869,1.3186348297415968,2.5283018867924527,2.1891671544650673,4.354838709677419,1.4270806353478935,4.4,1.2205143065174593,2.1923076923076925,1.7667876107609712,2.8518518518518516,2.522265521673593
3_F_046,Scratching one's hand,3,F,4.25,1.5702503859288823,1.9836065573770492,1.668250613453991,4.230769230769231,1.6323649667324356,4.269230769230769,1.5377305955905882,2.225806451612903,1.6873979459383577,1.7333333333333334,1.6386144974533723
3_M_046,Scratching one's hand,3,M,4.603448275862069,0.9901205875949822,2.892857142857143,2.340773542917123,4.53125,1.0771639884736754,4.6923076923076925,0.8840466399113012,2.9285714285714284,2.3242453403452057,2.857142857142857,2.399294428913166
1_F_047,Wearing a bracelet,1,F,5.603448275862069,1.0912676545050286,2.1964285714285716,1.6886750358264249,5.78125,1.156590512196614,5.384615384615385,0.9829312519977415,2.2857142857142856,1.9217496437157713,2.107142857142857,1.4488638132020377
1_M_047,Wearing a bracelet,1,M,5.6,1.5819494627086228,2,1.5026857675938214,5.190476190476191,1.4006801069140515,6.052631578947368,1.6823820483841192,1.90625,1.5935226751223317,2.096774193548387,1.4225526049951527
3_F_047,Wearing a bracelet,3,F,5.360655737704918,1.570910424830623,1.849056603773585,1.5241167229565904,5.161290322580645,1.6950275158739736,5.566666666666666,1.4307782626184986,1.8461538461538463,1.2866175093572354,1.8518518518518519,1.747607236804384
3_M_047,Wearing a bracelet,3,M,4.903846153846154,1.5750457868802512,1.4918032786885247,1.058661904161288,4.961538461538462,1.6366006044424943,4.846153846153846,1.541228281399162,1.4516129032258065,0.9251561914047938,1.5333333333333334,1.1957780134587124
1_F_048,Wearing a jacket,1,F,5.344827586206897,1.3449284092070914,2.625,1.9312031106399592,5.25,1.3198240351921795,5.461538461538462,1.3922864426767712,2.7857142857142856,2.0612319735239044,2.4642857142857144,1.815206199023556
1_M_048,Wearing a jacket,1,M,5.075,1.0714835150747424,2.1587301587301586,1.743248258432342,5.095238095238095,0.9436504599035559,5.052631578947368,1.2235505806429967,2.375,1.9959636689433842,1.935483870967742,1.436093865803294
3_F_048,Wearing a jacket,3,F,4.901639344262295,1.4911395869466955,1.9811320754716981,1.5870941763261253,4.903225806451613,1.6803737423497476,4.9,1.2958820721144295,1.8846153846153846,1.5576115838532552,2.074074074074074,1.6390880655442788
3_M_048,Wearing a jacket,3,M,4.846153846153846,1.1945072884423011,1.7704918032786885,1.3215324768736083,4.653846153846154,1.2943664919120141,5.038461538461538,1.0763185116226228,1.6451612903225807,1.2529534999824532,1.9,1.3982747990981972
1_F_049,Measuring something with the tape measurer,1,F,5.147540983606557,1.1667056980200061,1.7924528301886793,1.4054631123698054,5.129032258064516,1.2313119150962786,5.166666666666667,1.1167481527997294,1.8846153846153846,1.2752073737842982,1.7037037037037037,1.539600717839002
1_M_049,Measuring something with the tape measurer,1,M,4.884615384615385,1.542265282664307,1.6065573770491803,1.0372831263223197,4.884615384615385,1.5576115838532556,4.884615384615385,1.5576115838532556,1.8387096774193548,1.1574907974738111,1.3666666666666667,0.8502873077655143
3_F_049,Measuring something with the tape measurer,3,F,5.206896551724138,0.8936151824884488,2.392857142857143,1.625686668105863,5,0.3592106040535498,5.461538461538462,1.2403473458920844,2.392857142857143,1.7917358790618276,2.392857142857143,1.4742050139924308
3_M_049,Measuring something with the tape measurer,3,M,4.475,1.7972557428279943,2.0634920634920637,1.8216707669061696,4.476190476190476,1.503963018795596,4.473684210526316,2.1178716006781584,2.125,2.166459874333419,2,1.4142135623730951
1_F_050,Folding a sheet of paper,1,F,4.459016393442623,1.698762005028008,2.188679245283019,1.8507441722971134,4.451612903225806,1.804415134744392,4.466666666666667,1.6131642354623146,2.230769230769231,1.7733063425746225,2.1481481481481484,1.955341868666915
1_M_050,Folding a sheet of paper,1,M,4.1923076923076925,1.7381358228755306,3.0491803278688523,2.7953904289514235,4.1923076923076925,2.0979843806707574,4.1923076923076925,1.3272296189953199,3.6774193548387095,3.2185617572055745,2.4,2.14315268897852
